price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,day_sold,Age_at_Sale,Year_since_Renovation,was_renovated
221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,0,98178,47.5112,-122.257,1340,5650,13,59,59,False
538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1991,98125,47.721,-122.319,1690,7639,9,63,23,True
180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,0,98028,47.7379,-122.233,2720,8062,25,82,82,False
604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,0,98136,47.5208,-122.393,1360,5000,9,49,49,False
510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,0,98074,47.6168,-122.045,1800,7503,18,28,28,False
1225000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,0,98053,47.6561,-122.005,4760,101930,12,13,13,False
257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,0,98003,47.3097,-122.327,2238,6819,27,19,19,False
291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,0,98198,47.4095,-122.315,1650,9711,15,52,52,False
229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,0,98146,47.5123,-122.337,1780,8113,15,55,55,False
323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,0,98038,47.3684,-122.031,2390,7570,12,12,12,False
662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,0,98007,47.6007,-122.145,2210,8925,3,50,50,False
468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,0,98115,47.69,-122.292,1330,6000,27,72,72,False
310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,0,98028,47.7558,-122.229,1780,12697,28,87,87,False
400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,0,98074,47.6127,-122.045,1370,10208,7,37,37,False
530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,0,98107,47.67,-122.394,1360,4850,12,115,115,False
650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,0,98126,47.5714,-122.375,2140,4000,24,36,36,False
395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,0,98019,47.7277,-121.962,1890,14018,31,20,20,False
485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,0,98103,47.6648,-122.343,1610,4300,29,98,98,False
189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,0,98002,47.3089,-122.21,1060,5095,5,93,93,False
230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,0,98003,47.3343,-122.306,1280,8850,24,46,46,False
385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860,760,0,98133,47.7025,-122.341,1400,4980,14,67,67,False
2000000.0,3,2.75,3050,44867,1.0,0,4,3,9,2330,720,0,98040,47.5316,-122.233,4110,20336,26,46,46,False
285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,0,98092,47.3266,-122.169,2240,7005,3,19,19,False
252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,0,98030,47.3533,-122.166,1220,8386,16,29,29,False
329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,0,98030,47.3739,-122.172,2200,6865,20,29,29,False
233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,0,98002,47.3048,-122.218,1030,4705,3,73,73,False
